ID,Name,Score,Vote #,State,Term End,Role,Party
A000370,Adams,0.46539359330738256,74,NC,2027-01-03,rep,D
A000371,Aguilar,0.501534736262309,74,CA,2027-01-03,rep,D
A000376,Allred,0.5587791606500654,36,TX,2025-01-03,rep,D
A000148,Auchincloss,0.49939372644889113,74,MA,2027-01-03,rep,D
B001318,Balint,0.46966969885735926,74,VT,2027-01-03,rep,D
B001300,Barragán,0.4516905244623786,74,CA,2027-01-03,rep,D
B001281,Beatty,0.4559199280090038,74,OH,2027-01-03,rep,D
B001287,Bera,0.5560029156879663,74,CA,2027-01-03,rep,D
B001292,Beyer,0.4626952390419028,74,VA,2027-01-03,rep,D
B000490,Bishop (GA),0.5156058754597556,74,GA,2027-01-03,rep,D
B000574,Blumenauer,0.4773447609688235,36,OR,2025-01-03,rep,D
B001303,Blunt Rochester,0.5647408288121767,124,DE,2031-01-03,sen,D
B001278,Bonamici,0.4839927829470685,74,OR,2027-01-03,rep,D
B001223,Bowman,0.5216880871514049,36,NY,2025-01-03,rep,D
B001313,Brown,0.49323810536558244,74,OH,2027-01-03,rep,D
B001285,Brownley,0.47341413614883493,74,CA,2027-01-03,rep,D
B001315,Budzinski,0.44780196241187425,74,IL,2027-01-03,rep,D
B001224,Bush,0.46559546410160113,36,MO,2025-01-03,rep,D
C001134,Caraveo,0.545293863511848,36,CO,2025-01-03,rep,D
C001112,Carbajal,0.49518817185897035,74,CA,2027-01-03,rep,D
C001097,Cárdenas,0.5043110106521094,36,CA,2025-01-03,rep,D
C001072,Carson,0.5108190566029414,74,IN,2027-01-03,rep,D
C001125,Carter (LA),0.516100466685425,74,LA,2027-01-03,rep,D
C001090,Cartwright,0.5878996835836868,36,PA,2025-01-03,rep,D
C001131,Casar,0.5134372672073063,74,TX,2027-01-03,rep,D
C001055,Case,0.45146022447881207,74,HI,2027-01-03,rep,D
C001117,Casten,0.4864654618130674,74,IL,2027-01-03,rep,D
C001066,Castor (FL),0.4988146840196076,74,FL,2027-01-03,rep,D
C001091,Castro (TX),0.5213786738062891,74,TX,2027-01-03,rep,D
C001127,Cherfilus-McCormick,0.48952631703214,74,FL,2027-01-03,rep,D
C001080,Chu,0.43281473345963745,74,CA,2027-01-03,rep,D
C001084,Cicilline,0.343255138888889,12,RI,2023-05-31,rep,D
C001101,Clark (MA),0.40087034763595397,74,MA,2027-01-03,rep,D
C001067,Clarke (NY),0.36455756772780584,74,NY,2027-01-03,rep,D
C001061,Cleaver,0.5318792228163349,74,MO,2027-01-03,rep,D
C000537,Clyburn,0.49586624118667644,74,SC,2027-01-03,rep,D
C001078,Connolly,0.4832817874494717,52,VA,2025-05-21,rep,D
C001110,Correa,0.5126903405114323,74,CA,2027-01-03,rep,D
C001059,Costa,0.5504857326461793,74,CA,2027-01-03,rep,D
C001069,Courtney,0.5261666703514395,74,CT,2027-01-03,rep,D
C001130,Crockett,0.5420602225523636,74,TX,2027-01-03,rep,D
C001121,Crow,0.4497398538748878,74,CO,2027-01-03,rep,D
C001063,Cuellar,0.5615960559542985,74,TX,2027-01-03,rep,D
D000629,Davids (KS),0.6201215003692838,74,KS,2027-01-03,rep,D
D000096,Davis (IL),0.38266120602511816,74,IL,2027-01-03,rep,D
D000631,Dean (PA),0.5242388364352999,74,PA,2027-01-03,rep,D
D000197,DeGette,0.4025941500285508,74,CO,2027-01-03,rep,D
D000216,DeLauro,0.504055282740866,74,CT,2027-01-03,rep,D
D000617,DelBene,0.46553589762921116,74,WA,2027-01-03,rep,D
D000530,Deluzio,0.5659100090092911,74,PA,2027-01-03,rep,D
D000623,DeSaulnier,0.4940196435348997,74,CA,2027-01-03,rep,D
D000624,Dingell,0.46760872635295164,74,MI,2027-01-03,rep,D
D000399,Doggett,0.4206927844659039,74,TX,2027-01-03,rep,D
E000299,Escobar,0.46611913309537817,74,TX,2027-01-03,rep,D
